"Index","Open","High","Low","Close","Volume"
2015-08-05 12:32:00,210.11,210.17,210.11,210.17,1179
2015-08-05 12:33:00,210.16,210.21,210.16,210.19,1080
2015-08-05 12:34:00,210.18,210.19,210.13,210.13,1177
2015-08-05 12:35:00,210.13,210.17,210.11,210.16,1049
2015-08-05 12:36:00,210.16,210.23,210.15,210.21,698
2015-08-05 12:37:00,210.22,210.22,210.16,210.17,1076
2015-08-05 12:38:00,210.17,210.19,210.08,210.12,2395
2015-08-05 12:39:00,210.12,210.14,210.08,210.11,1524
2015-08-05 12:40:00,210.11,210.11,210.04,210.08,2066
2015-08-05 12:41:00,210.08,210.12,210.03,210.05,2011
2015-08-05 12:42:00,210.05,210.17,210.03,210.15,1945
2015-08-05 12:43:00,210.16,210.17,210.1,210.1,1617
2015-08-05 12:44:00,210.1,210.1,210.03,210.05,1834
2015-08-05 12:45:00,210.05,210.12,210.03,210.11,2913
2015-08-05 12:46:00,210.11,210.12,210.05,210.06,2467
2015-08-05 12:47:00,210.05,210.09,210.03,210.09,2721
2015-08-05 12:48:00,210.1,210.14,210.06,210.11,2116
2015-08-05 12:49:00,210.11,210.15,210.08,210.11,3932
2015-08-05 12:50:00,210.11,210.12,210.09,210.11,1415
2015-08-05 12:51:00,210.1,210.14,210.09,210.1,1540
2015-08-05 12:52:00,210.1,210.12,210.06,210.12,2033
2015-08-05 12:53:00,210.12,210.12,210.04,210.07,1867
2015-08-05 12:54:00,210.07,210.08,210.02,210.06,2813
2015-08-05 12:55:00,210.07,210.07,210.04,210.05,1974
2015-08-05 12:56:00,210.05,210.09,210.04,210.06,3131
2015-08-05 12:57:00,210.07,210.09,210.06,210.09,1768
2015-08-05 12:58:00,210.09,210.16,210.08,210.12,7607
2015-08-05 12:59:00,210.11,210.14,209.99,210.09,14726
2015-08-05 13:00:00,210.09,210.26,210.07,210.17,9626
2015-08-06 06:30:00,210.29,210.36,210.24,210.36,5452
2015-08-06 06:31:00,210.36,210.42,210.35,210.4,3193
